,country_name,population
0,afghanistan,31056997
1,albania,3581655
2,algeria,32930091
3,argentina,39921833
4,armenia,2976372
5,australia,20264082
6,austria,8192880
7,azerbaijan,7961619
8,bahrain,698585
9,bangladesh,147365352
10,belarus,10293011
11,belgium,10379067
12,benin,7862944
13,bolivia,8989046
14,botswana,1639833
15,brazil,188078227
16,bulgaria,7385367
17,burkina faso,13902972
18,burundi,8090068
19,cambodia,13881427
20,cameroon,17340702
21,canada,33098932
22,chad,9944201
23,chile,16134219
24,china,1313973713
25,colombia,43593035
26,comoros,690948
27,costa rica,4075261
28,croatia,4494749
29,cyprus,784301
30,czech republic,10235455
31,denmark,5450661
32,dominican republic,9183984
33,ecuador,13547510
34,egypt,78887007
35,el salvador,6822378
36,estonia,1324333
37,ethiopia,74777981
38,finland,5231372
39,france,60876136
40,gabon,1424906
41,georgia,4661473
42,germany,82422299
43,ghana,22409572
44,greece,10688058
45,guatemala,12293545
46,guinea,9690222
47,haiti,8308504
48,honduras,7326496
49,hungary,9981334
50,iceland,299388
51,india,1095351995
52,indonesia,245452739
53,iran,68688433
54,iraq,26783383
55,ireland,4062235
56,israel,6352117
57,italy,58133509
58,jamaica,2758124
59,japan,127463611
60,jordan,5906760
61,kazakhstan,15233244
62,kenya,34707817
63,kuwait,2418393
64,kyrgyzstan,5213898
65,laos,6368481
66,latvia,2274735
67,lebanon,3874050
68,lesotho,2022331
69,liberia,3042004
70,libya,5900754
71,lithuania,3585906
72,luxembourg,474413
73,macedonia,2050554
74,madagascar,18595469
75,malawi,13013926
76,malaysia,24385858
77,mali,11716829
78,malta,400214
79,mauritania,3177388
80,mauritius,1240827
81,mexico,107449525
82,moldova,4466706
83,mongolia,2832224
84,morocco,33241259
85,mozambique,19686505
86,nepal,28287147
87,netherlands,16491461
88,new zealand,4076140
89,nicaragua,5570129
90,niger,12525094
91,nigeria,131859731
92,norway,4610820
93,pakistan,165803560
94,panama,3191319
95,paraguay,6506464
96,peru,28302603
97,philippines,89468677
98,poland,38536869
99,portugal,10605870
100,romania,22303552
101,russia,142893540
102,rwanda,8648248
103,saudi arabia,27019731
104,senegal,11987121
105,serbia,9396411
106,sierra leone,6005250
107,singapore,4492150
108,slovakia,5439448
109,slovenia,2010347
110,south africa,44187637
111,spain,40397842
112,sri lanka,20222240
113,swaziland,1136334
114,sweden,9016596
115,switzerland,7523934
116,tajikistan,7320815
117,tanzania,37445392
118,thailand,64631595
119,togo,5548702
120,tunisia,10175014
121,turkey,70413958
122,turkmenistan,5042920
123,uganda,28195754
124,ukraine,46710816
125,united arab emirates,2602713
126,united kingdom,60609153
127,united states,298444215
128,uruguay,3431932
129,uzbekistan,27307134
130,venezuela,25730435
131,vietnam,84402966
132,yemen,21456188
133,zambia,11502010
134,zimbabwe,12236805
